"  1910,   10,    ""F"",    4471887 "
"  1910,   15,    ""M"",    4566154 "
"  1910,   15,    ""F"",    4592269 "
"  1910,   20,    ""M"",    4637632 "
"  1910,   20,    ""F"",    4447683 "
"  1910,   25,    ""M"",    4257755 "
"  1910,   25,    ""F"",    3946153 "
"  1910,   30,    ""M"",    3658125 "
"  1910,   30,    ""F"",    3295220 "
"  1910,   35,    ""M"",    3427518 "
"  1910,   35,    ""F"",    3088990 "
"  1910,   40,    ""M"",    2860229 "
"  1910,   40,    ""F"",    2471267 "
"  1910,   45,    ""M"",    2363801 "
"  1910,   45,    ""F"",    2114930 "
"  1910,   50,    ""M"",    2126516 "
"  1910,   50,    ""F"",    1773592 "
"  1910,   55,    ""M"",    1508358 "
"  1910,   55,    ""F"",    1317651 "
"  1910,   60,    ""M"",    1189421 "
"  1910,   60,    ""F"",    1090697 "
"  1910,   65,    ""M"",    850159 "
"  1910,   65,    ""F"",    813868 "
"  1910,   70,    ""M"",    557936 "
"  1910,   70,    ""F"",    547623 "
"  1910,   75,    ""M"",    322679 "
"  1910,   75,    ""F"",    350900 "
"  1910,   80,    ""M"",    161715 "
"  1910,   80,    ""F"",    174315 "
"  1910,   85,    ""M"",    59699 "
"  1910,   85,    ""F"",    62725 "
"  1910,   90,    ""M"",    23929 "
"  1910,   90,    ""F"",    28965 "
"  1920,   0,    ""M"",    5934792 "
"  1920,   0,    ""F"",    5694244 "
"  1920,   5,    ""M"",    5789008 "
"  1920,   5,    ""F"",    5693960 "
"  1920,   10,    ""M"",    5401156 "
"  1920,   10,    ""F"",    5293057 "
"  1920,   15,    ""M"",    4724365 "
"  1920,   15,    ""F"",    4779936 "
"  1920,   20,    ""M"",    4549411 "
"  1920,   20,    ""F"",    4742632 "
"  1920,   25,    ""M"",    4565066 "
"  1920,   25,    ""F"",    4529382 "
"  1920,   30,    ""M"",    4110771 "
"  1920,   30,    ""F"",    3982426 "
"  1920,   35,    ""M"",    4081543 "
"  1920,   35,    ""F"",    3713810 "
"  1920,   40,    ""M"",    3321923 "
"  1920,   40,    ""F"",    3059757 "
"  1920,   45,    ""M"",    3143891 "
"  1920,   45,    ""F"",    2669089 "
"  1920,   50,    ""M"",    2546035 "
"  1920,   50,    ""F"",    2200491 "
"  1920,   55,    ""M"",    1880975 "
"  1920,   55,    ""F"",    1674672 "
"  1920,   60,    ""M"",    1587549 "
"  1920,   60,    ""F"",    1382877 "
"  1920,   65,    ""M"",    1095956 "
"  1920,   65,    ""F"",    989901 "
"  1920,   70,    ""M"",    714618 "
"  1920,   70,    ""F"",    690097 "
"  1920,   75,    ""M"",    417292 "
"  1920,   75,    ""F"",    439465 "
"  1920,   80,    ""M"",    187000 "
"  1920,   80,    ""F"",    211110 "
"  1920,   85,    ""M"",    75991 "
"  1920,   85,    ""F"",    92829 "
"  1920,   90,    ""M"",    22398 "
"  1920,   90,    ""F"",    32085 "
"  1930,   0,    ""M"",    5875250 "
"  1930,   0,    ""F"",    5662530 "
"  1930,   5,    ""M"",    6542592 "
"  1930,   5,    ""F"",    6129561 "
"  1930,   10,    ""M"",    6064820 "
"  1930,   10,    ""F"",    5986529 "
"  1930,   15,    ""M"",    5709452 "
"  1930,   15,    ""F"",    5769587 "
"  1930,   20,    ""M"",    5305992 "
"  1930,   20,    ""F"",    5565382 "
"  1930,   25,    ""M"",    4929853 "
"  1930,   25,    ""F"",    5050229 "
"  1930,   30,    ""M"",    4424408 "
"  1930,   30,    ""F"",    4455213 "
"  1930,   35,    ""M"",    4576531 "
"  1930,   35,    ""F"",    4593776 "
"  1930,   40,    ""M"",    4075139 "
"  1930,   40,    ""F"",    3754022 "
"  1930,   45,    ""M"",    3633152 "
"  1930,   45,    ""F"",    3396558 "
"  1930,   50,    ""M"",    3128108 "
"  1930,   50,    ""F"",    2809191 "
"  1930,   55,    ""M"",    2434077 "
"  1930,   55,    ""F"",    2298614 "
"  1930,   60,    ""M"",    1927564 "
"  1930,   60,    ""F"",    1783515 "
"  1930,   65,    ""M"",    1397275 "
"  1930,   65,    ""F"",    1307312 "
"  1930,   70,    ""M"",    919045 "
"  1930,   70,    ""F"",    918509 "
"  1930,   75,    ""M"",    536375 "
"  1930,   75,    ""F"",    522716 "
"  1930,   80,    ""M"",    246708 "
"  1930,   80,    ""F"",    283579 "
"  1930,   85,    ""M"",    88978 "
"  1930,   85,    ""F"",    109210 "
"  1930,   90,    ""M"",    30338 "
"  1930,   90,    ""F"",    43483 "
"  1940,   0,    ""M"",    5294628 "
"  1940,   0,    ""F"",    5124653 "
"  1940,   5,    ""M"",    5468378 "
"  1940,   5,    ""F"",    5359099 "
"  1940,   10,    ""M"",    5960416 "
"  1940,   10,    ""F"",    5868532 "
"  1940,   15,    ""M"",    6165109 "
"  1940,   15,    ""F"",    6193701 "
"  1940,   20,    ""M"",    5682414 "
"  1940,   20,    ""F"",    5896002 "
"  1940,   25,    ""M"",    5438166 "
"  1940,   25,    ""F"",    5664244 "
